,,,,,,,
FantasyPros.com ,0,,,,,,
Week 12 - WR Rankings ,0,,,,,,
Expert Consensus Rankings (ECR) ,0,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
53,Jarvis Landry,MIA,  at  DEN,26,60,49.844660194175,6.7733877909127
54,Wes Welker,DEN,  vs.  MIA,27,74,52.802083333333,8.1222685045326
55,Justin Hunter,TEN,  at  PHI,35,72,53.163265306122,6.1390251794648
56,Davante Adams,GB,  at  MIN,21,73,54.04347826087,6.8997684956095
57,James Jones,OAK,  vs.  KC,34,69,54.568421052632,5.8699101249803
58,Chris Hogan,BUF,  vs.  NYJ,29,81,55.765432098765,6.7645984887889
59,Charles Johnson,MIN,  vs.  GB,35,99,61.771084337349,10.81311709147
60,Andre Holmes,OAK,  vs.  KC,26,75,57.967391304348,6.7460956291907
61,Greg Jennings,MIN,  vs.  GB,29,76,57.838709677419,6.4010925186129
62,Cordarrelle Patterson,MIN,  vs.  GB,42,68,57.915789473684,5.3007708632945
63,Robert Woods,BUF,  vs.  NYJ,44,72,62.035294117647,5.2163702927555
64,Marqise Lee,JAC,  at  IND,39,82,69.925373134328,7.6730064411445
65,Hakeem Nicks,IND,  vs.  JAC,46,83,64.85,5.7120486692604
66,Eddie Royal,SD,  vs.  STL,44,98,67.7,6.3035704168352
67,Taylor Gabriel,CLE,  at  ATL,45,86,64.918604651163,6.5329488983778
68,Jermaine Kearse,SEA,  vs.  ARI,47,79,66.036585365854,5.3748400360796
69,Nate Washington,TEN,  at  PHI,48,95,67.961538461538,6.83213055273
70,Marquess Wilson,CHI,  vs.  TB,49,108,75.372881355932,10.560396604463
71,Travis Benjamin,CLE,  at  ATL,51,110,77.755102040816,11.064800988177
72,Tavon Austin,STL,  at  SD,52,86,71.236111111111,5.598841783886
73,Brian Hartline,MIA,  at  DEN,52,85,71,5.3366656256505
74,Harry Douglas,ATL,  vs.  CLE,52,79,69.2,6.6490600839517
75,Andre Caldwell,DEN,  vs.  MIA,55,107,70.353846153846,10.068122992481
76,Steve Johnson,SF,  vs.  WAS,55,87,69.518987341772,5.4769037716478
77,Andre Roberts,WAS,  at  SF,56,85,76.253968253968,5.5433880361767
78,Cody Latimer,DEN,  vs.  MIA,59,128,81.673076923077,10.474733618508
79,Donte Moncrief,IND,  vs.  JAC,59,109,74.378378378378,9.4034247681546
80,Miles Austin,CLE,  at  ATL,59,95,77.582089552239,7.7269623962187
81,Louis Murphy,TB,  at  CHI,59,92,80.947368421053,5.8711935862671
82,Riley Cooper,PHI,  vs.  TEN,61,84,74.057142857143,5.6007288155477
83,Jeremy Kerley,NYJ,  at  BUF,62,107,84.487804878049,7.2182760972123
84,Jarius Wright,MIN,  vs.  GB,63,96,78.228070175439,5.6878372662204
85,Preston Parker,NYG,  vs.  DAL,63,88,76.6875,5.8671268167079
86,Danny Amendola,NE,  vs.  DET,64,106,81.065573770492,7.8277958970079
87,Kenbrell Thompkins,OAK,  vs.  KC,64,91,81.135593220339,5.7709313266494
88,Damaris Johnson,HOU,  vs.  CIN,66,106,85.189189189189,6.0575520782263
89,Stedman Bailey,STL,  at  SD,66,105,85.636363636364,6.2823378287896
90,Robert Meachem,NO,  vs.  BAL,66,97,86.170731707317,6.1877236407946
91,Corey Washington,NYG,  vs.  DAL,67,130,90.727272727273,11.604003298947
92,Brandon Lloyd,SF,  vs.  WAS,67,97,82.47619047619,7.048262518887
93,A.J. Jenkins,KC,  at  OAK,67,94,86.875,7.9126086090492
94,Marlon Brown,BAL,  at  NO,68,94,87.739130434783,5.3747994203574
95,Brice Butler,OAK,  vs.  KC,70,101,82.111111111111,6.6823888683355
96,Mike Williams,BUF,  vs.  NYJ,70,82,76,6
97,Devin Hester,ATL,  vs.  CLE,71,119,86.171428571429,8.1081465709696
98,Paul Richardson,SEA,  vs.  ARI,71,108,83,7.8297093066146
99,Dexter McCluster,TEN,  at  PHI,73,89,81.538461538462,4.5508306023843
100,Rishard Matthews,MIA,  at  DEN,76,114,95.2,12.796874618437
101,Joseph Morgan,NO,  vs.  BAL,76,107,89.5,10.436314802969
102,Dane Sanzenbacher,CIN,  at  HOU,78,132,105,27
103,Jarrett Boykin,GB,  at  MIN,78,106,90.5,10.547511554864
104,Brandon Tate,CIN,  at  HOU,80,124,100.85714285714,14.41654378462
105,T.J. Graham,NYJ,  at  BUF,80,113,92.666666666667,14.522013940528
106,Frankie Hammond,KC,  at  OAK,80,101,93.5,6.0827625302982
107,Ted Ginn Jr.,ARI,  at  SEA,82,110,100,10.8627804912
108,Jeremy Ross,DET,  at  NE,83,117,95.7,9.2309262807153
109,Denarius Moore,OAK,  vs.  KC,83,111,98.833333333333,11.795714852814
110,Chris Givens,STL,  at  SD,83,100,89.8,5.4552726787943
111,Junior Hemingway,KC,  at  OAK,84,102,95,5.8949130612758
112,Brandon Gibson,MIA,  at  DEN,84,100,91.9,5.1855568649857
113,Cole Beasley,DAL,  at  NYG,86,109,96,6.2182527020592
114,Jaron Brown,ARI,  at  SEA,86,102,94.916666666667,5.2354295164984
115,James Wright,CIN,  at  HOU,88,109,97,8.1486195149853
116,Kamar Aiken,BAL,  at  NO,89,108,98.375,5.6333271696219
117,Kevin Norwood,SEA,  vs.  ARI,90,118,101.5,10.307764064044
118,Corey Fuller,DET,  at  NE,91,122,102,14.165686240584
119,Josh Huff,PHI,  vs.  TEN,92,116,100.14285714286,7.7354207832462
120,Ace Sanders,JAC,  at  IND,96,112,105,6
121,Albert Wilson,KC,  at  OAK,98,126,112,14
122,Ricardo Lockette,SEA,  vs.  ARI,98,112,103.85714285714,4.2233558568841
123,Vincent Brown,OAK,  vs.  KC,99,113,106,7
124,Nick Toon,NO,  vs.  BAL,100,120,106.4,7.0028565600046
125,Derek Hagan,TEN,  at  PHI,101,116,105.2,5.6
126,Dwayne Harris,DAL,  at  NYG,103,111,107.75,2.9474565306379
127,Ryan Broyles,DET,  at  NE,104,111,107.5,3.5
128,Greg Salas,NYJ,  at  BUF,107,127,117,10
129,Devin Street,DAL,  at  NYG,112,123,117.5,5.5
130,Keshawn Martin,HOU,  vs.  CIN,115,119,117,2
